Facility Name,Status,Region,Technology,Generator Capacity (MW),Latitude,Longitude
Albany,operating,Western Australia,Wind,21.6,-35.0658354,117.7975063
Ararat,operating,Victoria,Wind,241.59,-37.263393,143.082116
Badgingarra,operating,Western Australia,Wind,130,-30.4399239,115.3240452
Bald Hills,operating,Victoria,Wind,106.6,-38.7581889808652,145.956062446578
Bango,operating,New South Wales,Wind,244,-34.7672077729328,148.921498707487
Berrybank,operating,Victoria,Wind,180.6,-37.9807408934913,143.472217087048
Biala,operating,New South Wales,Wind,110.67,-34.5878355563273,149.369847873015
Blayney,operating,New South Wales,Wind,9.9,-33.621944,149.198333
Boco Rock,operating,New South Wales,Wind,113,-36.5745267575061,149.124862887286
Bodangora,operating,New South Wales,Wind,113,-32.407128,149.04133
Bremer Bay,operating,Western Australia,Wind,0.6,-34.3990329,119.3893766
Bulgana Green Power Hub,operating,Victoria,"Battery (Discharging),Wind",224,-37.1475326536899,142.937590484114
Canunda,operating,South Australia,Wind,46,-37.6983027777778,140.383633333333
Capital,operating,New South Wales,Wind,140,-35.123534200873,149.500248815014
Cathedral Rocks,operating,South Australia,Wind,66,-34.8487411412149,135.592648854827
Cattle Hill,operating,Tasmania,Wind,148,-42.1548445,146.6946935
Challicum Hills,operating,Victoria,Wind,52,-37.3954659700352,143.104590414104
Chepstowe,operating,Victoria,Wind,6,-37.596503,143.499582
Cherry Tree,operating,Victoria,Wind,57,-37.1003604726479,145.267129247032
Clements Gap,operating,South Australia,Wind,57,-33.4897731866514,138.11169493851
Codrington,operating,Victoria,Wind,18,-38.2828746908265,141.95496017677
Collector,operating,New South Wales,Wind,113,-34.8238785633268,149.396795344361
Collgar,operating,Western Australia,Wind,206,-31.59751,118.490597
Coonoer Bridge,operating,Victoria,Wind,19.8,-36.472722,143.322039
Coopers Gap,operating,Queensland,Wind,452,-26.7170038,151.4491769
Crookwell,operating,New South Wales,Wind,4.8,-34.5165,149.54248
Crookwell 2,operating,New South Wales,Wind,96,-34.547676,149.589254
Crowlands,operating,Victoria,Wind,79,-36.97615,143.097998
Crudine Ridge,operating,New South Wales,Wind,141,-32.8647484102368,149.812970066282
Cullerin Range,operating,New South Wales,Wind,30,-34.7509945681949,149.381026799248
Denmark,operating,Western Australia,Wind,1.44,-35.0369706,117.3190123
Dundonnell,operating,Victoria,Wind,335,-37.8638943,142.9434538
Elaine,operating,Victoria,Wind,83,-37.7320941328686,144.010658320757
Emu Downs,operating,Western Australia,Wind,80,-30.4756469,115.3790523
Granville Harbour,operating,Tasmania,Wind,111,-41.802,145.056
Grasmere,operating,Western Australia,Wind,13.8,-35.0658354,117.7975063
Gullen Range,operating,New South Wales,"Solar (Utility),Wind",175,-34.6245115552508,149.458548623602
Gunning,operating,New South Wales,Wind,47,-34.6763607466059,149.664430179495
Hallett 1,operating,South Australia,Wind,95,-33.3284341007768,138.704668661635
